"Position","Nickname","Species","Nature","Gender","ESV","HP_Type","Ability","Move1","Move2","Move3","Move4","HeldItem","HP","ATK","DEF","SPA","SPD","SPE","MetLoc","EggLoc","Ball","OT","Version","OTLang","Legal","EncounterType","EC","PID","IV_HP","IV_ATK","IV_DEF","IV_SPA","IV_SPD","IV_SPE","EXP","Level","EV_HP","EV_ATK","EV_DEF","EV_SPA","EV_SPD","EV_SPE","Cool","Beauty","Cute","Smart","Tough","Sheen","NotOT","AbilityNum","GenderFlag","Form","PokerusStrain","PokerusDays","MetLevel","OriginalTrainerGender","FatefulEncounter","IsEgg","IsNicknamed","IsShiny","TID16","SID16","TSV","Move1_PP","Move2_PP","Move3_PP","Move4_PP","Move1_PPUp","Move2_PPUp","Move3_PPUp","Move4_PPUp","Relearn1","Relearn2","Relearn3","Relearn4","Checksum","Friendship","EggYear","EggMonth","EggDay","MetYear","MetMonth","MetDay"
"main @ [01] (Box 1)-01: 0001 ★ - 妙蛙种子 - ED295B94FC53.pa9","妙蛙种子","妙蛙种子","温顺","M","2887","龙","茂盛","泰山压顶","舍身冲撞","挺住","自我激励","(无)","231","134","120","166","182","126","２０号野生特区","－－－－－－－－－－","狩猎球","Mick","传说 宝可梦Z-A","ChineseS","True","野外遭遇(普通)","5B94FC53","16A7A2DD","31","28","21","31","11","31","1059860","100","0","0","0","0","0","0","0","0","0","0","0","0","","1","0","0","0","0","62","0","False","False","False","True","10842","40480","2887","15","15","10","30","0","0","0","0","(无)","(无)","(无)","(无)","60713","255","1","1","1","2025","12","16"
"main @ [01] (Box 1)-02: 0002 ★ - 妙蛙草 - 563A22561A93.pa9","妙蛙草","妙蛙草","胆小","M","2887","恶","茂盛","藤鞭","吼叫","花瓣舞","替身","(无)","261","144","162","196","196","171","２０号野生特区","－－－－－－－－－－","狩猎球","Mick","传说 宝可梦Z-A","ChineseS","True","野外遭遇(普通)","22561A93","5C08E873","7","31","31","7","31","19","1059860","100","0","0","0","0","0","0","0","0","0","0","0","0","","2","0","0","0","0","62","0","False","False","False","True","10842","40480","2887","25","20","10","10","0","0","0","0","(无)","(无)","(无)","(无)","22074","255","1","1","1","2025","12","16"
"main @ [01] (Box 1)-03: 0003 ★ - 妙蛙花 - D90D989C0CF9.pa9","妙蛙花","妙蛙花","固执","M","2887","幽灵","茂盛","叫声","污泥炸弹","终极吸取","终极冲击","(无)","301","220","202","212","236","196","２０号野生特区","－－－－－－－－－－","狩猎球","Mick","传说 宝可梦Z-A","ChineseS","True","野外遭遇(普通)","989C0CF9","FA154E6E","31","0","31","31","26","23","1059860","100","0","0","0","0","0","0","0","0","0","0","0","0","","2","0","0","0","0","62","0","False","False","False","True","10842","40480","2887","40","10","10","5","0","0","0","0","(无)","(无)","(无)","(无)","55565","255","1","1","1","2025","12","16"
"main @ [01] (Box 1)-04: 0004 ★ - 小火龙 - A43B1EADF782.pa9","小火龙","小火龙","勤奋","M","2887","恶","猛火","火焰拳","喷射火焰","火焰旋涡","蓄能焰袭","(无)","219","140","122","156","136","166","２０号野生特区","－－－－－－－－－－","等级球","Mick","传说 宝可梦Z-A","ChineseS","True","野外遭遇(普通)","1EADF782","4446F03D","31","13","31","9","31","19","1059860","100","0","0","0","0","0","0","0","0","0","0","0","0","","2","0","0","0","0","62","0","False","False","False","True","10842","40480","2887","15","15","15","20","0","0","0","0","(无)","(无)","(无)","(无)","42043","255","1","1","1","2025","12","16"
"main @ [01] (Box 1)-05: 0005 ★ - 火恐龙 - B651561DB96F.pa9","火恐龙","火恐龙","怕寂寞","M","2887","电","猛火","叫声","逆鳞","点到为止","磷火","(无)","257","180","136","196","166","196","２０号野生特区","－－－－－－－－－－","等级球","Mick","传说 宝可梦Z-A","ChineseS","True","野外遭遇(普通)","561DB96F","584FEC34","17","31","31","10","31","31","1059860","100","0","0","0","0","0","0","0","0","0","0","0","0","","2","0","0","0","0","62","0","False","False","False","True","10842","40480","2887","40","10","40","15","0","0","0","0","(无)","(无)","(无)","(无)","46673","255","1","1","1","2025","12","16"
"main @ [01] (Box 1)-06: 0006 ★ - 喷火龙 - 42054CFC287C.pa9","喷火龙","喷火龙","淘气","M","2887","超能力","猛火","雷电拳","火花","岩崩","挺住","(无)","297","204","211","228","206","236","２０号野生特区","－－－－－－－－－－","豪华球","Mick","传说 宝可梦Z-A","ChineseS","True","野外遭遇(普通)","4CFC287C","2C799802","31","24","31","21","31","30","1059860","100","0","0","0","0","0","0","0","0","0","0","0","0","","1","0","0","0","0","62","0","False","False","False","True","10842","40480","2887","15","25","10","10","0","0","0","0","(无)","(无)","(无)","(无)","16901","255","1","1","1","2025","12","16"
"main @ [01] (Box 1)-07: 0007 ★ - 杰尼龟 - C7858BDA8F0F.pa9","杰尼龟","杰尼龟","慢吞吞","M","2887","冰","激流","头锤","撞击","咬住","守住","(无)","229","132","149","149","164","122","２０号野生特区","－－－－－－－－－－","潜水球","Mick","传说 宝可梦Z-A","ChineseS","True","野外遭遇(普通)","8BDA8F0F","656DD116","31","10","28","29","31","31","1059860","100","0","0","0","0","0","0","0","0","0","0","0","0","","1","0","0","0","0","62","0","False","False","False","True","10842","40480","2887","15","35","25","10","0","0","0","0","(无)","(无)","(无)","(无)","51077","255","1","1","1","2025","12","16"
"main @ [01] (Box 1)-08: 0008 ★ - 卡咪龟 - 2973CBB91958.pa9","卡咪龟","卡咪龟","冷静","M","2887","龙","激流","咬住","泡沫光线","守住","泥巴射击","(无)","259","162","196","182","196","136","２０号野生特区","－－－－－－－－－－","大师球","Mick","传说 宝可梦Z-A","ChineseS","True","野外遭遇(普通)","CBB91958","2DCF99B4","12","9","25","31","31","31","1059860","100","0","0","0","0","0","0","0","0","0","0","0","0","","2","0","0","0","0","62","0","False","False","False","True","10842","40480","2887","25","20","10","15","0","0","0","0","(无)","(无)","(无)","(无)","10611","255","1","1","1","2025","12","16"
"main @ [01] (Box 1)-09: 0009 ★ - 水箭龟 - 16475E5AF187.pa9","水箭龟","水箭龟","马虎","M","2887","草","激流","潮旋","劈瓦","水流环","恶之波动","(无)","299","202","236","226","221","192","２０号野生特区","－－－－－－－－－－","大师球","Mick","传说 宝可梦Z-A","ChineseS","True","野外遭遇(普通)","5E5AF187","979F23E4","12","0","31","24","31","31","1059860","100","0","0","0","0","0","0","0","0","0","0","0","0","","1","0","0","0","0","62","0","False","False","False","True","10842","40480","2887","15","15","20","15","0","0","0","0","(无)","(无)","(无)","(无)","5703","255","1","1","1","2025","12","16"
"main @ [01] (Box 1)-10: 0013 ★ - 独角虫 - 753FD08BF55D.pa9","独角虫","独角虫","慢吞吞","M","2887","地面","鳞粉","毒针","吐丝","硬撑","电网","(无)","221","106","86","83","76","136","１号野生特区","－－－－－－－－－－","等级球","Mick","传说 宝可梦Z-A","ChineseS","True","野外遭遇(普通)","D08BF55D","0431B04A","31","30","31","18","18","31","1000000","100","0","0","0","0","0","0","0","0","0","0","0","0","","2","0","0","0","0","15","0","False","False","False","True","10842","40480","2887","35","40","20","15","0","0","0","0","(无)","(无)","(无)","(无)","30015","255","1","1","1","2025","12","16"
